Text 1,Text 2,Index,Ann_1,Ann_2,Gold,Notes
"Die Menschen, die Welt, die Erde und das All - davon ist in diesem Buch ausdrücklich nicht die Rede.","In 1957, an earth-born object made by man was launched into the universe, where for some weeks it circled the earth according to the same laws of gravitation that swing and keep in motion the celestial bodies—the sun, the moon, and the stars.",1,,,,
"Audi nicht davon, wie die von Menschen errichtete Welt von der Erde weg in den Himmel sich streckt, von dem Himmel weg in das Weltall greift, in die Nachbarschaft von Sonne, Mond und Sternen.","To be sure, the man-made satellite was no moon or star, no heavenly body which could follow its circling path for a time span that to us mortals, bound by earthly time, lasts from eternity to eternity.",2,,,,
"Wer dürfte wagen, davon schon zu reden, woran wir doch unaufhörlich denken, seitdem das erste von Menschen verfertigte Ding in das Weltall flog, um dort für eine Zeit in den gleichen, durch die Gravitation bestimmten Bahnen zu wandeln, die den Himmelskörpern seit Ewigkeit den Weg und den schwingenden Lauf vorzeichnen.","Yet, for a time it managed to stay in the skies; it dwelt and moved in the proximity of the heavenly bodies as though it had been admitted tentatively to their sublime company.",3,,,,
"Seither ist ein Satellit nach dem anderen in den Weltraum auf gestiegen, der Mond ist umflogen, und was noch vor zehn Jahren in unendlich erhabener Ferne, in den schweigen den Regionen eines unnahbaren Geheimnisses lag, muß sich nun gefallen lassen, den Weltraum Vorrat jenseits des Himmels, der sich um die Erde wölbt, mit irdisch-menschlichen Gegenständen zu teilen.","This event, second in importance to no other, not even to the splitting of the atom, would have been greeted with unmitigated joy if it had not been for the uncomfortable military and political circumstances attending it.",4,,,,
"An Bedeutung steht das Ereignis des Jahres 1957 keinem anderen nach, auch nicht der Atomspaltung, und man hätte annehmen können, daß es trotz aller Sorge um die militärischen und politischen Begleitumstände von den Menschen mit großem Jubel begrüßt werden würde.","But, curiously enough, this joy was not triumphal; it was not pride or awe at the tremendousness of human power and mastery which filled the hearts of men, who now, when they looked up from the earth toward the skies, could behold there a thing of their own making.",5,4,4,4,
"Seltsam, der Jubel blieb aus und von Triumph war kaum etwas zu spüren, aber auch nichts von einem Gefühl des Unheimlichen, daß von dem bestirnten Himmel über uns nun unsere eigenen Apparate und Geräte uns entgegenleuchten sollen.","The immediate reaction, expressed on the spur of the moment, was relief about the first “step toward escape from men’s imprisonment to the earth.”",6,5,5,5,
"Statt dessen stellte sich als erste Reaktion ein kurioses Gefühl der Erleichterung ein, „daß der erste Schritt getan sei, um dem Gefängnis der Erde zu ent rinnen“.","And this strange statement, far from being the accidental slip of some American reporter, unwittingly echoed the extraordinary line which, more than twenty years ago, had been carved on the funeral obelisk for one of Russia’s great scientists: “Mankind will not remain bound to the earth forever.”",7,6,6,6,
"Und so phantastisch uns die Vorstellung anmuten mag, daß die Menschen, der Erde müde, sich auf die Suche nach neuen Wohnplätzen im Universum begeben, so ist sie doch keineswegs die zufällige Entgleisung eines amerikanischen Journalisten, der sich etwas Sensationelles für eine Schlagzeile ausdenken wollte; sie sagt nur, und sicher ohne es zu wissen, was vor mehr als zwanzig Jahren als Inschrift auf dem Grabstein eines großen Wissenschaftlers in Rußland erschien: „Nicht für immer wird die Menschheit an die Erde gefesselt bleiben.“",Such feelings have been commonplace for some time.,8,7,7,7,
"Was an solchen Äußerungen frappiert, ist, daß sie keineswegs verstiegene Phantasien von heute sind, als seien die neuesten Errungenschaften der Technik einigen Leuten zu Kopf gestiegen, sondern Allerweltsvorstellungen von gestern und vorgestern.","They show that men everywhere are by no means slow to catch up and adjust to scientific discoveries and technical developments, but that, on the contrary, they have outsped them by decades.",9,,8,,*
"Wie kann man nur angesichts dieses und ähnlicher Tatbestände meinen, das „Denken“ der Menschen sei hinter den wissenschaftlichen Entdeckungen und technischen Entwicklungen zurückgeblieben!","Here, as in other, The Human Condition respects, science has realized and affirmed what men anticipated in dreams that were neither wild nor idle.",10,,,,
"Es ist ihnen immer um Jahrzehnte vorausgeeilt, und zwar das Denken und Vorstellen von Jedermann, nicht nur dasjenige derer, die diese Entdeckungen leisten und ihre Entwicklung vorantreiben.","What is new is only that one of this country’s most respectable newspapers finally brought to its front page what up to then had been buried in the highly non-respectable literature of science fiction (to which, unfortunately, nobody yet has paid the attention it deserves as a vehicle of mass sentiments and mass desires).",11,9,9,9,
"Denn die Wissenschaft hat nur verwirklicht, was Menschen geträumt haben, und sie hat nur bestätigt, daß Träume keine Phantasie zu bleiben brauchen.","The banality of the statement should not make us overlook how extraordinary in fact it was; for although Christians have spoken of the earth as a vale of tears and philosophers have looked upon their body as a prison of mind or soul, nobody in the history of mankind has ever conceived of the earth as a prison for men’s bodies or shown such eagerness to go literally from here to the moon. Should the emancipation and secularization of the modern age, which began with a turning-away, not necessarily from God, but from a god who was the Father of men in heaven, end with an even more fateful repudiation of an Earth who was the Mother of all living creatures under the sky?",12,10,10,10,
"Ein Blick in die Literatur der Science-Fiction, um deren seltsame Verrücktheit sich leider noch niemand ernsthaft gekümmert hat, dürfte lehren, wie sehr die moderne Entwicklung gerade den Wünschen und heimlichen Sehnsüchten der Massen entgegen kommt.","The earth is the very quintessence of the human condition, and earthly nature, for all we know, may be unique in the universe in providing human beings with a habitat in which they can move and breathe without effort and without artifice.",13,11,11,11,
"Und die vulgäre und verkitschte Journalistensprache sollte nicht hindern einzusehen, daß das, was sie ausspricht, ganz und gar außerordentlich und keineswegs gewöhnlich ist, wenn wir damit das meinen, woran wir gewohnt sind.","The human artifice of the world separates human existence from all mere animal environment, but life itself is outside this artificial world, and through life man remains related to all other living organisms.",14,12,,,*
"Denn obzwar das Christentum gelegentlich die Erde als ein Jammertal bezeichnet und die Philosophie gelegentlich den Körper als ein Gefängnis für Geist und Seele angesehen hat, so ist es doch vor dem zwanzigsten Jahrhundert niemanden in den Sinn gekommen, die Erde für ein Gefängnis des menschlichen Körpers zu halten, bzw. sich in allem Ernst dar um zu bemühen, einen Ausflug auf den Mond zu machen.","For some time now, a great many scientific endeavors have been directed toward making life also “artificial,” toward cutting the last tie through which even man belongs among the children of nature.",15,12,12,12,
"Sollte das, was die Aufklärung für die Mündigkeitserklärung des Menschen ansah, und was in der Tat eine Abkehr, zwar nicht von Gott überhaupt, aber von dem Gott bedeutete, der den Menschen ein Vater im Himmel war, schließlich bei einer Emanzipation des Menschengeschlechts von der Erde enden, die, soviel wir wissen, die Mutter alles Lebendigen ist?","It is the same desire to escape from imprisonment to the earth that is manifest in the attempt to create life in the test tube, in the desire to mix “frozen germ plasm from people of demonstrated ability under the microscope to produce superior human beings” and “to alter [their] size, shape and function”; and the wish to escape the human condition, I suspect, also underlies the hope to extend man’s life-span far beyond the hundred-year limit.",16,,12,,*
"Denn wie immer es um „die Stellung des Menschen im Kosmos“ bestellt sein mag, die Erde und die irdische Natur scheinen zumindest insofern einzigartig im Weltall zu sein, als sie solchen Wesen, wie Menschen es sind, die Bedingungen bereitstellen, unter denen sie ohne Umstände und ohne auf von ihnen selbst ersonnene Mittel angewiesen zu sein, leben und sich bewegen und atmen können.","This future man, whom the scientists tell us they will produce in no more than a hundred years, seems to be possessed by a rebellion against human existence as it has been given, a free gift from Prologue nowhere (secularly speaking), which he wishes to exchange, as it were, for something he has made himself. There is no reason to doubt our abilities to accomplish such an exchange, just as there is no reason to doubt our present ability to destroy all organic life on earth. The question is only whether we wish to use our new scientific and technical knowledge in this direction, and this question cannot be decided by scientific means; it is a political question of the first order and therefore can hardly be left to the decision of professional scientists or professional politicians.",17,,13,,*
"Die Welt als ein Gebilde von Menschenhand ist, im Unterschied zur tierischen Umwelt, der Natur nicht absolut verpflichtet, aber das Leben als solches geht in diese künstliche Welt nie ganz und gar ein, wie es auch nie ganz und gar in ihr auf gehen kann; als ein lebendes Wesen bleibt der Mensch dem Reich des Lebendigen verhaftet, von dem er sich doch dauernd auf eine künstliche, von ihm selbst errichtete Welt hin entfernt.","While such possibilities still may lie in a distant future, the first boomerang effects of science’s great triumphs have made themselves felt in a crisis within the natural sciences themselves.",18,14,14,14,
"Schon seit geraumer Zeit versuchen die Naturwissenschaften, auch das Leben künstlich herzustellen, und sollte ihnen das gelingen, so hätten sie wirklich die Nabelschnur zwischen dem Menschen und der Mutter alles Lebendigen, der Erde, durchschnitten.","The trouble concerns the fact that the “truths” of the modern scientific world view, though they can be demonstrated in mathematical formulas and proved technologically, will no longer lend themselves to normal expression in speech and thought.",19,15,15,15,
"Das Bestreben, „dem Gefängnis der Erde“ und damit den Bedingungen zu entrinnen, unter denen die Menschen das Leben empfangen haben, ist am Werk in den Versuchen, Leben in der Retorte zu erzeugen oder durch künstliche Befruchtung Übermenschen zu züchten oder Mutationen zustande zu bringen, in denen menschliche Gestalt und Funktionen radikal „verbessert“ werden würden, wie es sich vermutlich auch in den Versuchen äußert, die Lebensspanne weit über die Jahrhundert grenze auszudehnen.","The moment these “truths” are spoken of conceptually and coherently, the resulting statements will be “not perhaps as meaningless as a ‘ triangular circle,’ but much more so than a ‘winged lion’ ” (Erwin Schrodinger).",20,16,16,16,
"Dieser zukünftige Mensch, von dem die Naturwissenschaften meinen, er werde in nicht mehr als hundert Jahren die Erde bevölkern, dürfte, wenn er wirklich je entstehen sollte, seine Existenz der Rebellion des Menschen gegen sein eigenes Dasein verdanken, nämlich gegen das, was ihm bei der Geburt als freie Gabe geschenkt war, und was er nun gleichsam umzutauschen wünscht gegen Bedingungen, die er selbst schafft.","We do not yet know whether this situation is final, but it could be that we, who are earth-bound creatures and have begun to act as though we were dwellers of the universe, will forever be unable to understand, that is, to think and speak about the things which nevertheless we are able to do.",21,17,17,17,
"Daß solch ein Umtausch im Bereich des Möglichen liegt, daran haben wir keinerlei Grund zu zweifeln, sowie wir ja auch leider keinen Grund haben, daran zu zweifeln, daß wir imstande sind, alles organische Leben auf der Erde zu vernichten.","In this case, it would be as though our brain, which constitutes the physical, material condition of our thoughts, were unable to follow what we do, so that from now on we would indeed need artificial machines to do our thinking and speaking.",22,,17,,*
"Die Frage kann nur sein, ob wir unsere neue wissenschaftliche Erkenntnis und unsere ungeheuren technischen Fähigkeiten in dieser Richtung zu betätigen wünschen; und diese Frage ist im Rahmen der Wissenschaften schlechthin unbeantwortbar, ja sie ist in ihrem Rahmen noch nicht einmal sinnvoll gestellt, weil es im Wesen der Wissenschaft liegt, jeden einmal eingeschlagenen Weg bis an sein Ende zu verfolgen.","If it should turn out to be true that knowledge (in the modern sense of know-how) and thought have parted company for good, then we would indeed become the helpless slaves, not so much of our machines as of our know-how, thoughtless creatures at the mercy of every gadget which is technically possible, no matter how murderous it is.",23,,17,,*
"Auf jeden Fall ist diese Frage eine politische Frage ersten Ranges, und kann schon aus diesem Grund nicht gut der Entscheidung von Fachleuten, weder den Berufswissenschaftlern noch den Berufspolitikern, überlassen bleiben.","However, even apart from these last and yet uncertain consequences, the situation created by the sciences is of great political significance.",24,,17,,*
"Während dies alles noch Sache einer entfernten Zukunft sein mag, haben sich die ersten Rückschläge der großen wissenschaftlichen Triumphe in der sogenannten Grundlagenkrise der Naturwissenschaften selbst eingestellt.","Wherever the relevance of speech is at stake, matters become political by definition, for speech is what makes man a political being.",25,18,18,18,
"Es zeigt sich nämlich, daß die „Wahrheiten“ des modernen wissenschaftlichen Weltbilds, die mathematisch beweisbar und technisch demonstrierbar sind, sich auf keine Weise mehr sprachlich oder gedanklich darstellen lassen.","If we would follow the advice, so frequently urged The Human Condition upon us, to adjust our cultural attitudes to the present status of scientific achievement, we would in all earnest adopt a way of life in which speech is no longer meaningful.",26,19,19,19,
"So bald man versucht, diese „Wahrheiten“ in Begriffe zu fassen und in einem sprechend-aussagenden Zusammenhang anschaulich zu machen, kommt ein Unsinn heraus, der „vielleicht nicht ganz so unsinnig ist wie ein .dreieckiger Kreis*, aber erheblich unsinniger als ein .geflügelter Löwe*“ (Erwin Schrödinger).","For the sciences today have been forced to adopt a “language” of mathematical symbols which, though it was originally meant only as a reviation tor spoken statements, now contains statements that in no way can be translated back into speech.",27,20,20,20,
"Wir wissen noch nicht, ob dies endgültig ist.",The reason why it may be wise to distrust the political judgment of scientists qua scientists is not primarily their lack of “character”—that they did not refuse to develop atomic- weapons—or their naivete—that they did not understand that once these weapons were developed they would be the last to be consulted about their use—but precisely the fact that they move in a world where speech has lost its power.,28,21,21,21,
"Es könnte immerhin sein, daß es für erdgebundene Wesen, die handeln, als seien sie im Weltall beheimatet, auf immer unmöglich ist, die Dinge, die sie solcherweise tun, auch zu verstehen, d. h. denkend über sie zu sprechen.",And whatever men do or know or experience can make sense only to the extent that it can be spoken about.,29,21,21,21,
"Sollte sich das bewahrheiten, so würde es heißen, daß unsere Gehirnstruktur, d. h. die physisch- materielle Bedingung menschlichen Denkens, uns hindert, die Dinge, die wir tun, gedanklich nachzuvollziehen - woraus in der Tat folgen würde, daß uns gar nichts anderes übrig bleibt, als nun auch Maschinen zu ersinnen, die uns das Denken und Sprechen abnehmen.","There may be truths beyond speech, and they may be of great relevance to man in the singular, that is, to man in so far as he is not a political being, whatever else he may be.",30,22,22,22,
"Sollte sich herausstellen, daß Erkennen und Denken nichts mehr miteinander zu tun haben, daß wir erheblich mehr er kennen und daher auch herstellen können, als wir denkend zu verstehen vermögen, so würden wir wirklich uns selbst gleichsam in die Falle gegangen sein, bzw. die Sklaven - zwar nicht, wie man gemeinhin glaubt, unserer Maschinen, aber - unseres eigenen Erkenntnisvermögens geworden sein, von allem Geist und allen guten Geistern verlassene Kreaturen, die sich hilflos jedem Apparat ausgeliefert sehen, den sie überhaupt nur herstellen können, ganz gleich wie verrückt oder wie mörderisch er sich auswirken möge.","Men in the plural, that is, men in so far as they live and move and act in this world, can experience meaningfulness only because they can talk with and make sense to each other and to themselves.",31,23,23,23,
"Aber auch abgesehen von diesen letzten, noch im Ungewissen liegenden Folgen hat die Grundlagenkrise der Wissenschaften ihre ernsten politischen Aspekte.",Closer at hand and perhaps equally decisive is another no less threatening event.,32,24,24,24,
"Wo immer es um die Relevanz der Sprache geht, kommt Politik notwendigerweise ins Spiel; denn Menschen sind nur darum zur Politik begabte Wesen, weil sie mit Sprache begabte Wesen sind.","This is the advent of automation, which in a few decades probably will empty the factories and liberate mankind from its oldest and most natural burden, the burden of laboring and the bondage to necessity.",33,25,25,25,
"Wären wir töricht genug, auf die von allen Seiten neuerdings erteilten Ratschläge zu hören und uns dem gegenwärtigen Stand der Wissenschaften anzupassen, so bliebe uns nichts anderes übrig, als auf das Sprechen überhaupt zu verzichten.","Here, too, a fundamental aspect of the human condition is at stake, but the rebellion against it, the wish to be liberated from labor’s “toil and trouble,” is not modern but as old as recorded history.",34,26,26,26,
"Denn die Wissenschaften reden heute in einer mathematischen Symbolsprache, die ursprünglich nur als Abkürzung für Gesprochenes gemeint war, sich aber hiervon längst emanzipiert hat und aus Formeln besteht, die sich auf keine Weise zurück in Gesprochenes verwandeln lassen.",Freedom from labor itself is not new; it once belonged among the most firmly established privileges of the few.,35,27,27,27,
"Die Wissenschaftler leben also bereits in einer sprach-losen Welt, aus der sie qua Wissenschaftler nicht mehr herausfinden.","In this instance, it seems as though scientific progress and technical developments had been only taken advantage of to achieve something about which all former ages dreamed but which none had been able to realize.",36,,,,
"Und dieser Tatbestand muß, was politische Urteilsfähigkeit betrifft, ein gewisses Mißtrauen erregen.","However, this is so only in appearance.",37,,,,
"Was dagegen spricht, sich in Fragen, die menschliche Angelegenheiten angehen, auf Wissenschaftler qua Wissenschaftler zu verlassen, ist nicht, daß sie sich bereitfanden, die Atombombe herzustellen, bzw. daß sie naiv genug waren zu meinen, man würde sich um ihre Ratschläge kümmern und bei ihnen anfragen, ob und wie sie eingesetzt werden sollte; viel schwerwiegender ist, daß sie sich überhaupt in einer Welt bewegen, in der die Sprache ihre Macht verloren hat, die der Sprache nicht mächtig ist.",The modern age has carried with it a theoretical glorification of labor and has resulted in a factual transformation of the whole of society into a laboring society.,38,28,28,28,
"Denn was immer Menschen tun, erkennen, erfahren oder wissen, wird sinnvoll nur in dem Maß, in dem darüber gesprochen werden kann.","The fulfilment of the wish, therefore, like the fulfilment Prologue of wishes in fairy tales, comes at a moment when it can only be self-defeating.",39,29,29,29,
